donor21_Normal_sample21_14	donor21_Normal_sample21_6	donor21_MDS_sample21_16	donor21_MDS_sample21_29	donor21_MDS_sample21_31	donor22_Normal_sample22_22	donor22_Normal_sample22_27	donor22_Normal_sample22_45	donor22_MDS_sample22_44b	donor23_Normal_sample23_13	donor23_Normal_sample23_28	donor23_Normal_sample23_5	donor23_MDS_sample23_24	donor23_MDS_sample23_38	donor23_MDS_sample23_6
12.12961946.12962685	130	102	26	36	20	41	101	68	10	83	88	64	24	15	38
12.14766524.14767203	108	69	38	26	25	63	108	68	9	116	102	69	30	20	26
12.14767622.14768280	94	67	25	28	27	46	68	52	3	52	63	42	25	16	14
12.14774883.14775321	34	18	13	9	7	26	54	39	5	46	45	24	6	9	17
12.14844265.14845136	136	109	42	54	51	69	152	88	8	145	157	69	30	23	49
12.15133756.15134644	73	78	27	32	16	31	80	64	9	98	98	60	15	14	25
12.15687352.15688277	71	91	37	22	20	32	82	59	5	98	112	38	27	15	38
12.15782071.15782478	19	16	171	53	26	11	22	40	22	84	40	26	37	55	60
12.16016994.16017271	47	46	20	20	14	23	46	46	4	62	50	27	13	15	21
12.16164977.16165426	15	9	90	37	15	4	16	43	12	44	31	25	32	33	59
12.16301605.16302486	73	34	16	24	24	22	75	70	12	92	77	49	14	12	31
12.22492881.22493681	108	84	30	29	32	51	123	69	11	123	137	66	32	27	30
12.22513481.22514202	69	84	20	27	34	23	106	76	12	107	128	56	18	13	34
12.22691765.22692523	77	81	29	23	44	51	112	102	9	129	123	65	28	12	34
12.22694457.22695095	44	41	11	12	9	19	29	37	3	44	47	33	11	12	10
12.22702291.22703091	130	88	36	36	49	81	110	112	6	144	113	83	48	37	48
12.24895143.24895962	93	112	35	30	35	53	101	77	15	132	140	64	34	20	34
12.25084497.25085313	104	54	29	34	30	44	117	86	13	102	81	69	18	19	48
12.25191811.25192735	92	67	37	25	23	48	90	86	8	99	102	74	38	20	41
12.26283595.26284070	62	50	15	23	25	27	37	42	2	48	61	41	18	17	16
12.26480920.26481723	85	74	24	37	23	43	97	64	7	83	80	62	38	13	39
12.26626010.26626740	79	69	37	25	24	76	50	61	3	60	84	74	25	15	30
12.26944302.26944731	50	43	22	18	22	12	53	48	5	63	53	29	15	11	19
12.27106178.27106939	42	50	21	29	13	28	26	62	3	64	45	35	13	12	28
12.28053915.28054670	125	77	38	36	36	65	125	97	17	136	166	97	30	21	52
12.28447192.28447697	51	34	13	9	14	30	59	43	6	49	71	38	15	5	15
12.29359791.29361540	130	90	39	78	35	53	123	94	11	163	144	85	42	27	53
12.29844140.29844918	65	75	25	37	34	24	70	73	7	95	78	53	11	13	29
12.31839863.31840601	87	79	42	24	35	64	83	95	6	61	93	60	39	22	26
12.31985518.31986805	179	180	38	49	61	148	190	166	15	159	145	165	37	23	57
12.32012466.32012946	47	44	15	9	7	17	14	34	1	30	42	46	17	3	6
12.32370472.32370895	50	43	27	18	26	26	66	65	7	51	76	36	10	12	26
12.32636320.32637082	113	117	32	45	44	72	121	111	19	126	135	62	30	30	42
12.32638400.32639403	117	115	55	37	40	45	113	124	9	126	133	82	26	27	44
12.32741936.32743044	78	66	39	29	23	37	82	96	8	71	76	72	18	22	23
12.32827186.32828320	137	99	37	35	49	65	103	76	15	127	107	87	31	20	27
12.40240161.40240544	57	50	7	12	12	11	43	35	7	59	58	22	14	4	15
12.40552218.40552989	48	55	14	9	9	22	43	46	1	69	90	53	10	7	29
12.40602508.40603135	43	31	6	12	9	10	28	37	1	49	42	38	12	3	10
12.40719128.40719443	36	24	16	17	4	13	26	25	5	41	38	19	8	5	8
12.42449719.42450490	116	85	28	37	30	47	134	92	9	114	119	66	22	16	28
12.45661937.45663230	37	30	147	82	61	17	58	63	40	105	53	34	51	75	111
12.45829575.45830712	175	137	50	62	74	110	153	154	17	245	218	132	58	36	86
12.45969257.45970614	133	104	37	43	24	54	120	88	14	180	153	88	44	28	61
12.46825235.46826285	29	10	120	68	16	5	37	34	9	94	28	24	44	52	92
12.46853871.46854410	56	57	23	20	21	23	66	62	10	65	69	35	17	10	29
12.46880963.46882035	99	90	32	30	29	50	109	98	5	97	113	58	39	12	33
12.47795020.47795440	33	43	13	9	11	45	57	53	4	52	70	43	11	6	14
12.48002400.48002781	39	28	14	12	14	20	51	54	7	61	49	38	13	7	17
12.48091788.48092448	42	41	15	19	11	24	50	33	6	52	43	42	11	13	23
12.50262472.50263910	88	92	345	196	69	43	90	116	64	166	89	96	115	152	211
12.50377385.50378602	65	58	264	183	76	24	63	72	67	137	68	39	84	138	128
12.50944210.50944795	37	34	78	69	37	15	34	22	16	36	28	25	43	37	50
12.51751060.51751763	109	90	28	30	24	22	39	85	12	49	62	75	29	19	20
12.52541046.52541554	41	44	237	92	35	76	32	62	16	26	37	61	59	69	71
12.56035430.56037313	143	126	55	49	51	63	140	132	12	122	150	111	42	35	47
12.56067237.56067878	107	63	15	27	27	37	101	62	6	96	94	63	22	19	35
12.57160047.57160960	213	168	53	76	86	98	218	106	27	163	182	142	50	33	66
12.57540597.57541842	65	62	211	110	50	35	65	43	47	80	57	63	66	103	125
12.58968947.58969433	53	33	15	23	5	29	27	34	6	88	84	44	14	20	36
12.59866025.59866533	78	50	19	14	20	25	31	24	3	104	75	43	26	8	24
12.63139178.63139498	25	32	4	7	11	20	34	28	2	21	34	30	6	8	14
12.65143185.65143976	57	49	22	27	14	29	57	63	5	57	68	39	17	12	13
12.65959421.65960327	50	38	315	74	36	19	59	84	50	120	75	52	55	98	98
12.66584417.66585673	105	56	37	40	22	37	89	73	3	77	63	51	20	15	42
12.67294907.67295412	23	18	5	2	2	10	19	20	1	39	45	37	10	10	8
12.67845768.67846536	53	54	12	11	8	25	55	37	1	59	69	46	10	7	12
12.68092436.68093389	87	70	48	34	22	84	69	58	7	94	87	73	25	25	39
12.68761625.68762403	81	69	30	30	17	55	47	69	9	89	41	57	22	23	21
12.68767465.68768275	110	106	33	39	29	48	90	75	11	90	88	94	30	19	49
12.69433442.69434076	76	63	32	26	23	28	57	80	3	88	46	60	25	15	27
12.73141319.73141715	38	33	19	17	5	19	22	38	3	61	44	20	10	6	23
12.75758790.75759134	42	40	7	9	5	5	44	28	2	37	49	21	4	3	13
12.75865755.75866631	57	42	29	29	23	44	62	71	9	101	87	45	16	17	31
12.75871930.75872956	76	62	30	22	19	30	59	60	10	102	78	59	18	12	25
12.76367821.76369007	132	114	47	42	35	78	122	137	19	155	146	97	46	26	43
12.76913042.76913745	43	41	23	10	10	23	48	44	3	42	49	32	10	9	14
12.76982534.76983209	71	66	52	31	29	54	142	114	10	121	127	73	33	16	45
12.77453954.77454898	132	78	27	34	49	67	110	79	10	148	140	84	27	14	40
12.78392721.78393380	82	55	24	21	26	52	60	67	6	126	112	64	22	11	24
12.78812783.78813118	49	37	14	14	21	16	45	42	8	75	53	27	8	8	20
12.79370981.79371758	78	82	24	31	24	46	62	74	10	126	130	66	17	10	41
12.83617685.83618348	34	22	16	10	12	9	45	36	7	58	54	33	9	8	19
12.89554092.89554878	92	112	34	43	37	71	104	97	12	131	107	60	42	17	27
12.89821188.89822110	78	59	25	20	19	35	66	42	12	68	75	52	15	12	25
12.90115170.90115750	63	40	13	10	23	21	33	62	2	55	49	46	15	8	28
12.90127383.90127925	36	35	20	11	8	28	54	60	4	34	43	42	9	16	16
12.90183612.90184162	71	61	18	21	25	32	60	90	3	59	71	56	17	9	25
12.90251448.90252299	89	67	20	17	23	34	69	49	5	97	55	62	18	11	17
12.90256506.90258173	146	138	55	66	46	106	142	165	17	224	134	80	44	32	71
12.90320816.90321364	37	37	21	13	10	17	39	33	3	52	64	32	9	6	30
12.90610694.90611020	35	38	10	8	8	20	24	19	3	29	51	51	10	3	14
12.92265255.92266114	74	83	25	14	26	39	80	83	6	114	127	48	20	12	24
12.92838454.92839389	120	99	46	45	41	70	115	116	10	132	118	92	38	21	41
12.92896198.92896729	48	30	18	15	15	31	52	67	5	74	75	34	8	16	19
12.93491595.93492489	108	125	39	58	38	57	171	131	16	160	139	103	31	51	57
12.93532536.93533533	106	80	37	42	34	41	119	81	9	99	80	55	24	21	33
12.94505744.94506561	86	89	26	21	27	36	71	76	5	90	79	42	27	14	27
12.94633524.94634379	59	69	21	29	28	71	71	61	6	67	54	81	27	19	28
12.96801281.96801998	98	93	37	34	36	41	94	78	5	78	108	81	23	22	35
12.96850084.96850978	74	39	14	16	13	38	58	32	8	55	74	64	10	16	11
12.99006344.99007133	106	72	43	35	39	59	116	87	12	136	135	84	27	19	52
12.100960889.100961681	126	116	30	25	20	46	101	79	6	143	135	88	26	14	30
12.101002288.101003462	115	72	23	34	25	48	100	59	15	92	137	64	39	17	41
12.101092282.101093551	120	49	24	28	27	55	113	64	10	139	127	84	26	22	38
12.102064832.102066119	124	96	48	52	47	66	139	114	15	125	152	95	28	29	58
12.102141442.102142139	67	78	24	34	23	40	91	87	12	120	122	48	26	16	53
12.102171077.102172001	64	60	21	25	19	30	74	65	8	69	74	43	14	13	33
12.102174277.102175045	54	36	10	17	15	20	44	30	5	54	55	47	13	8	25
12.102896950.102898780	136	91	60	35	44	86	134	109	9	188	170	81	41	24	31
12.103793578.103794383	47	55	12	20	7	22	53	49	2	79	87	40	8	6	19
12.105035351.105036302	144	120	29	45	38	52	91	71	13	77	92	97	24	21	34
12.105368274.105368936	128	91	34	34	45	61	114	87	12	107	107	88	20	16	37
12.105752228.105753012	104	75	25	28	36	39	68	35	1	78	97	51	21	19	28
12.108726525.108727504	228	225	106	83	81	150	287	222	24	147	144	155	52	26	75
12.108760951.108762120	149	147	72	56	46	95	162	131	22	99	121	141	44	38	43
12.108849350.108850037	72	76	24	34	32	52	64	66	6	79	75	58	29	20	30
12.111098873.111099963	166	113	46	45	44	100	251	83	15	107	130	167	50	43	81
12.113308251.113308907	103	69	37	38	28	56	95	81	9	79	77	73	24	30	31
12.113683460.113684153	81	53	218	140	59	25	83	118	45	73	78	91	103	99	160
12.114369702.114371964	121	98	408	251	92	71	145	132	91	171	148	148	147	182	251
12.115243919.115245044	102	131	42	67	36	53	114	75	6	77	98	76	30	15	30
12.116774254.116775118	190	135	66	52	43	104	116	133	20	88	88	107	27	21	49
12.116881490.116882415	80	77	36	32	15	59	68	63	7	54	56	55	29	19	25
12.117592928.117593608	47	58	138	170	101	36	47	53	67	116	56	42	57	106	46
12.118613693.118614545	153	123	55	51	35	79	141	113	11	111	133	106	36	23	32
12.121997979.121999227	141	114	39	33	32	68	126	61	14	51	95	76	40	21	36
12.132933279.132933838	17	26	79	82	24	11	8	15	5	36	28	14	37	51	70
13.20912005.20912562	51	65	27	23	25	39	63	46	4	57	58	57	17	13	26
13.22591269.22591796	59	44	16	11	14	40	56	45	4	43	29	49	17	10	29
13.27596656.27597414	39	25	258	79	52	20	46	65	66	64	56	41	61	112	147
13.28057043.28057753	73	70	29	29	36	38	92	55	8	55	82	61	22	13	26
13.28605324.28607145	233	239	94	90	85	204	293	187	26	239	238	226	60	34	92
13.28982218.28983793	136	94	460	415	105	61	192	131	69	223	193	151	161	181	334
13.29655063.29655597	62	36	4	25	22	21	55	18	3	38	65	50	12	10	30
13.30479811.30480348	75	60	17	11	24	34	87	44	3	55	70	46	19	11	17
13.30497906.30498795	64	38	197	90	50	44	73	73	42	77	43	52	46	96	55
13.30509814.30510576	90	54	14	18	17	24	56	45	10	47	57	50	19	25	27
13.33697251.33698430	91	114	47	45	30	59	117	62	11	138	143	80	38	32	58
13.34831888.34832713	94	74	30	23	29	46	112	61	8	136	131	60	22	23	42
13.36527658.36528023	16	14	153	80	25	7	31	23	31	70	42	26	43	102	82
13.41002556.41002882	30	33	6	14	9	44	46	31	3	38	36	38	13	9	21
13.41203642.41204670	118	77	38	38	35	40	83	54	10	65	79	63	19	17	38
13.41355637.41356139	48	40	6	20	15	18	43	25	5	32	49	29	13	9	17
13.42362497.42363265	48	43	161	153	55	22	74	57	33	103	50	67	64	82	119
13.43628923.43629655	34	29	207	86	56	13	42	39	48	94	70	26	29	102	75
13.43975332.43975879	128	67	22	32	35	54	133	41	10	96	111	62	27	21	32
13.44239092.44239303	8	8	81	16	31	1	7	11	37	11	15	4	16	36	30
13.44968832.44969363	34	30	85	55	24	12	41	43	25	37	37	32	36	52	71
13.44970635.44972666	119	109	372	188	139	59	113	117	103	138	111	116	119	172	243
13.46524612.46525047	52	74	20	24	25	27	50	44	3	57	63	42	20	11	23
13.46746581.46747335	111	87	43	39	38	53	107	69	5	84	91	74	27	22	46
13.46747743.46748247	104	63	34	28	22	35	72	57	6	54	67	61	23	16	41
13.46914899.46916043	129	132	42	37	23	73	57	87	12	61	74	92	39	19	34
13.48755733.48756253	77	62	13	17	14	30	85	41	2	40	50	44	9	16	21
13.50944497.50944954	47	36	15	14	20	12	67	26	2	43	59	39	17	8	23
13.52123085.52123786	83	63	39	32	29	48	101	66	7	57	85	85	17	19	34
13.52136084.52136897	139	116	23	30	22	71	109	67	4	97	114	71	20	14	33
13.53484261.53485112	56	49	11	27	25	32	62	52	2	73	87	59	21	9	31
13.53495269.53496062	66	67	26	27	16	28	27	55	4	78	56	51	17	13	19
13.53586984.53587272	28	28	8	11	9	15	33	22	4	25	44	25	10	7	18
13.58887230.58887649	26	44	8	15	10	14	40	32	3	51	55	30	8	9	12
13.59527705.59528106	46	23	10	8	20	40	58	18	5	57	46	47	9	12	20
13.72957793.72958248	48	32	20	13	12	11	24	24	3	53	65	33	14	12	21
13.73274378.73275622	50	42	18	22	16	26	39	49	7	86	103	48	25	13	18
13.74873685.74874224	66	84	11	19	25	44	84	52	6	96	120	22	22	12	17
13.76079166.76080390	76	73	19	32	19	35	81	62	7	94	94	64	26	25	36
13.76086131.76086783	52	50	16	17	18	35	74	29	8	58	82	46	10	6	14
13.76115096.76116008	190	159	56	74	70	132	188	138	13	204	286	177	81	35	60
13.76961489.76962343	57	41	14	24	17	14	65	28	5	63	88	40	15	12	24
13.77014708.77015317	30	29	12	8	9	24	34	28	2	52	42	28	7	6	22
13.77319181.77320310	130	100	37	44	40	57	147	116	9	131	108	77	29	24	49
13.77468540.77468942	49	40	9	20	6	8	31	21	6	43	54	14	12	9	9
13.77912626.77913636	74	81	32	34	32	39	95	45	6	85	97	62	25	17	36
13.77961028.77961713	80	66	23	14	23	18	72	47	3	62	80	39	18	12	23
13.78034176.78034862	114	66	40	32	39	40	124	79	10	113	129	88	27	17	63
13.78363458.78363843	48	45	6	16	12	20	26	24	8	43	53	19	11	9	13
13.78410501.78410945	55	65	33	22	23	12	61	61	3	70	81	38	20	11	17
13.79863827.79863957	34	38	6	8	7	13	33	21	3	38	49	21	5	6	13
13.80742251.80743502	192	136	77	59	66	75	149	141	19	157	164	163	42	21	71
13.80747382.80747662	62	49	6	9	20	42	33	36	3	65	66	27	17	6	14
13.81028409.81029132	69	48	24	31	13	29	71	58	5	63	74	40	26	13	23
13.81447576.81448254	181	149	57	64	59	108	174	97	22	177	221	149	77	41	76
13.81471665.81472109	46	48	19	19	11	21	52	47	1	41	72	30	15	10	17
13.83581436.83581683	41	28	14	15	11	20	19	13	3	65	65	23	14	3	13
13.88546164.88547069	123	70	29	30	31	55	96	33	11	134	135	76	25	16	38
13.91806913.91807943	69	126	73	52	54	41	127	132	20	187	215	89	22	23	61
13.91930955.91931685	72	42	25	27	37	80	64	50	5	108	108	66	29	17	37
13.92027141.92027807	88	51	30	22	16	24	89	54	8	53	83	40	25	14	31
13.97913788.97914645	70	69	29	35	24	21	73	53	10	75	100	53	17	16	30
13.98039059.98041381	317	321	115	107	130	193	434	258	27	413	356	243	75	58	170
13.99933807.99934977	164	145	67	64	63	76	166	99	15	169	153	106	42	25	57
13.99964511.99965332	162	139	61	60	58	105	192	92	18	131	173	126	41	32	56
13.100027034.100028112	92	57	32	36	27	60	81	60	6	73	95	77	24	22	48
13.100194837.100195535	99	102	40	47	32	40	88	48	7	112	131	63	34	18	32
13.102359025.102359445	67	76	21	12	13	45	83	51	4	106	142	38	10	13	26
13.103651788.103652268	46	23	6	12	20	26	54	32	6	59	81	26	11	13	26
13.105829455.105830298	58	34	26	21	21	18	49	41	3	62	92	41	13	13	33
13.107245453.107245822	63	43	13	18	19	33	50	33	5	76	78	36	19	14	20
13.107282609.107283379	83	60	19	35	21	30	86	48	8	96	101	48	16	14	34
13.107438301.107439100	74	76	21	36	36	28	120	50	6	88	128	45	20	16	45
13.110306758.110308289	128	93	36	42	45	55	113	95	12	112	117	86	41	27	46
13.110699610.110700430	65	60	219	205	63	49	162	108	49	138	86	82	111	85	197
13.111061561.111062729	56	50	263	136	51	44	89	68	31	103	76	88	88	99	136
13.111073505.111075184	90	55	299	125	40	43	146	124	66	97	87	114	105	115	216
13.111097489.111097919	48	26	29	14	14	43	29	32	3	23	31	36	14	5	10
13.111310616.111311004	49	37	18	15	19	16	34	31	3	41	46	33	14	11	15
13.113365672.113367076	159	105	519	390	182	87	147	108	131	286	262	250	269	287	401
13.113422008.113422883	260	256	81	98	84	97	282	98	19	183	236	184	68	46	97
13.114505077.114505607	42	34	209	101	42	24	28	25	23	76	45	45	42	70	71
14.21183120.21184137	88	91	36	49	39	39	69	83	15	69	89	89	23	16	27
14.21423223.21424369	127	144	73	47	42	77	184	119	26	145	133	122	29	32	65
14.23082970.23083857	24	18	197	44	65	17	30	43	43	64	29	26	37	95	97
14.23641970.23642680	101	73	31	40	45	42	110	45	8	71	81	52	19	14	22
14.30327410.30327776	35	30	8	10	5	18	45	24	4	49	71	36	9	6	14
14.32819334.32819581	35	26	9	7	9	18	23	11	3	37	47	27	5	7	15
14.33125961.33126836	70	55	19	22	33	35	74	62	10	111	118	54	21	15	34
14.34234533.34235044	24	30	213	108	40	13	45	65	54	68	39	25	38	84	88
14.34384251.34384623	25	15	55	31	28	19	8	28	27	49	24	49	47	35	49
14.42187794.42188401	99	65	28	33	38	41	99	71	7	119	129	57	15	18	35
14.50531664.50532329	101	94	33	39	18	62	99	56	10	86	107	80	28	18	35
14.51605886.51606426	19	29	11	8	5	50	90	84	4	14	27	19	4	8	2
14.52310746.52311653	167	69	41	41	41	112	135	67	13	115	141	115	32	28	55
14.52332650.52332925	12	4	40	20	20	2	12	17	29	17	13	7	12	24	19
14.52779702.52780092	34	36	10	13	11	18	20	33	3	23	22	27	11	5	13
14.52791593.52792338	79	68	18	29	16	41	54	46	2	54	62	60	19	13	26
14.52862349.52862942	43	47	9	21	13	15	49	32	12	36	45	33	10	4	17
14.53822112.53822778	45	24	107	31	57	17	53	43	53	51	63	24	44	84	74
14.54917126.54917740	83	65	29	27	14	32	47	44	3	57	70	58	14	20	26
14.55324137.55325193	93	71	28	34	26	50	108	93	13	65	85	68	27	16	28
14.55569885.55570327	34	32	72	31	35	24	28	32	29	34	25	37	30	56	51
14.55804374.55805065	31	28	64	77	42	11	39	30	13	38	28	49	53	41	77
14.56266228.56266597	32	38	58	56	38	26	63	57	36	33	39	38	47	29	103
14.56471432.56472739	87	52	205	98	62	38	80	80	74	103	121	125	119	141	190
14.60316143.60317184	160	145	39	46	57	85	164	120	17	159	204	110	39	16	54
14.61796061.61796730	68	58	17	19	15	20	40	29	4	39	61	31	13	10	19
14.62130089.62130928	49	39	9	20	16	24	49	35	7	55	45	47	16	12	26
14.64366488.64367139	89	50	17	18	21	36	65	39	8	42	44	44	20	12	30
14.65673211.65674015	84	60	25	23	18	53	46	38	7	32	37	59	20	11	22
14.68232840.68233687	142	97	51	55	41	77	126	91	18	101	131	98	34	19	40
14.68734692.68735556	102	77	23	37	31	48	125	56	4	67	58	58	32	20	27
14.68950469.68950989	10	12	30	29	12	20	11	27	13	19	31	38	33	39	46
14.69055819.69056955	29	47	387	185	70	20	50	78	73	125	97	32	68	122	182
14.69285965.69286746	55	47	83	71	41	34	36	36	29	42	23	27	45	55	70
14.69560377.69561220	37	37	145	109	48	15	84	53	57	59	52	49	47	88	130
14.71865427.71866331	114	85	31	42	30	71	72	57	9	92	66	88	34	19	52
14.74955151.74955906	108	82	27	24	32	56	71	57	5	29	64	64	33	13	23
14.75613950.75614814	106	75	223	166	99	45	110	70	71	93	74	73	66	138	145
14.76076158.76076960	64	71	15	29	28	55	74	52	0	56	73	55	24	19	18
14.76081266.76082105	262	229	70	64	71	164	240	171	9	150	158	167	48	33	50
14.76657296.76658297	58	70	33	20	25	39	83	66	11	62	86	59	19	17	31
14.77386220.77387162	62	52	217	97	43	34	69	93	33	88	46	52	57	113	128
14.77587674.77588307	14	8	9	4	4	53	81	29	7	43	48	57	15	9	20
14.81642688.81643104	53	48	15	24	12	24	55	41	8	55	84	23	17	9	28
14.81674865.81676078	58	57	24	27	26	29	67	49	7	92	89	47	16	16	27
14.84595258.84595873	140	87	45	48	36	66	137	97	11	146	212	105	27	26	70
14.86066265.86066877	97	84	30	32	10	46	70	78	2	101	126	92	33	13	45
14.86414479.86414829	35	27	11	12	4	5	40	42	5	34	71	28	9	4	21
14.86908367.86909009	65	39	26	17	27	34	56	42	3	56	69	36	16	18	23
14.88465444.88466272	69	42	19	24	29	33	61	66	7	65	69	54	21	14	25
14.88766195.88766966	87	69	33	32	25	49	107	40	10	91	102	61	22	17	37
14.89742238.89743400	242	228	78	76	56	141	215	148	18	222	302	210	76	45	78
14.90055769.90056630	149	117	30	48	35	63	155	79	14	99	129	67	40	32	54
14.90135110.90136224	153	122	51	53	54	60	195	86	15	127	152	134	43	23	74
14.90147261.90148549	129	90	38	42	44	59	115	71	8	86	97	76	32	19	36
14.90553549.90554463	339	239	88	93	127	213	329	198	27	270	296	253	77	46	85
14.91709650.91710415	123	80	44	35	18	67	64	44	11	40	62	104	36	25	21
14.93192444.93193151	41	38	115	82	35	51	39	55	27	44	44	77	115	54	78
14.93219421.93220055	58	46	16	16	13	40	49	41	6	31	32	26	13	10	13
14.94000050.94000818	114	101	27	41	34	56	95	71	11	73	105	67	17	24	40
14.94860734.94861801	93	101	50	33	39	62	100	82	9	96	112	83	34	23	39
14.97371986.97373029	47	60	27	30	19	33	72	53	9	64	82	64	15	10	24
14.97453519.97453704	29	19	8	7	8	16	33	18	2	23	20	25	7	6	10
14.100539000.100540002	189	134	65	65	56	129	151	123	14	81	89	106	35	26	43
14.101289887.101291114	89	82	129	146	52	25	31	21	31	35	29	23	78	63	135
14.102512479.102513441	111	76	199	175	126	34	110	75	69	69	83	75	108	138	165
15.22386765.22387729	37	39	145	37	11	11	27	11	47	26	34	5	60	70	117
15.25983349.25983761	42	31	12	16	16	9	27	27	3	30	37	25	8	4	14
15.26038169.26039491	425	330	162	137	141	222	452	252	29	276	348	251	98	74	150
15.26114950.26115248	43	34	9	17	8	17	33	14	4	28	40	21	9	7	14
15.33443088.33443722	173	126	30	39	37	65	137	89	10	97	101	72	34	20	43
15.34014218.34014507	43	36	14	13	5	29	32	34	3	34	42	29	16	8	22
15.35598143.35599360	23	22	187	75	75	11	65	40	57	98	77	38	39	80	138
15.38963872.38964366	53	37	15	10	6	33	30	28	3	45	64	46	9	8	15
15.39432031.39433090	206	131	574	430	158	81	257	197	185	123	178	258	248	267	458
15.39650111.39651231	73	58	113	129	64	49	106	69	53	50	76	121	96	93	211
15.45571026.45572017	202	218	653	405	182	34	85	248	133	105	41	5	222	321	336
15.45684149.45684753	96	57	23	30	27	52	58	55	9	51	70	61	17	19	22
15.50356502.50357404	57	43	22	20	18	45	79	46	8	61	72	70	25	10	32
15.50411286.50411999	49	59	10	27	18	31	54	37	6	34	40	44	13	12	22
15.50426577.50427570	155	158	62	65	56	84	146	129	16	94	106	107	36	20	52
15.51203759.51204166	48	41	21	8	19	34	40	27	5	24	37	39	9	9	22
15.52758058.52759159	281	201	69	83	90	143	285	111	29	181	264	141	67	55	78
15.53072088.53073165	86	50	29	29	25	39	85	74	7	89	91	54	30	22	31
15.55095153.55096101	84	61	31	32	17	48	50	52	8	71	107	96	32	15	44
15.55787180.55787540	37	28	14	10	5	10	33	23	3	33	50	46	10	9	11
15.59619902.59620559	67	68	13	25	22	26	62	39	4	29	39	44	16	10	29
15.63334087.63335201	126	75	331	157	81	49	97	87	107	110	79	77	73	150	173
15.63389208.63390146	60	32	84	126	33	45	63	43	35	31	54	108	111	82	113
15.63766705.63767506	159	122	44	38	47	76	111	62	9	58	78	97	40	27	46
15.66970856.66972702	122	96	483	219	79	65	135	121	86	117	94	112	97	174	228
15.69283972.69284590	31	30	90	71	32	7	31	33	50	43	42	36	39	67	81
15.75382384.75383098	56	37	126	106	29	24	65	35	27	43	46	73	74	57	107
15.76184049.76184558	26	16	135	43	27	13	36	28	30	48	28	36	34	43	60
15.77818895.77821048	167	140	501	262	140	69	137	125	108	165	143	105	128	181	236
15.79231412.79231830	52	48	21	18	16	21	48	33	4	34	45	43	16	11	20
15.80202063.80202224	29	21	11	9	12	7	15	14	0	23	23	37	7	6	18
15.80246731.80247410	56	75	20	17	19	20	52	45	6	36	43	34	13	11	30
15.81593911.81595155	166	126	60	63	50	72	132	78	19	94	127	107	37	27	37
15.81623306.81624161	37	32	87	40	43	7	17	31	19	43	33	24	35	52	58
15.85872690.85873560	77	63	34	34	28	36	81	31	3	62	73	69	18	14	41
15.86086901.86087465	57	66	14	26	14	17	45	54	5	46	69	25	15	20	25
15.86126960.86127705	72	55	30	31	17	48	61	51	5	60	78	70	30	16	32
15.86166757.86167148	53	38	20	13	10	21	20	28	4	24	39	29	16	6	15
15.91109333.91110229	72	74	27	40	22	41	82	63	7	57	64	63	29	16	23
15.91473106.91473975	78	42	175	135	60	56	121	25	30	3	16	5	75	67	27
15.92404165.92405007	176	96	40	53	51	69	140	95	13	96	135	99	32	25	50
15.93779241.93779950	94	156	58	62	48	37	117	142	19	141	186	59	28	26	55
15.98418494.98419527	174	69	371	287	172	67	143	88	97	125	5	106	118	185	240
15.100042383.100043029	60	35	15	21	11	20	29	18	2	33	40	30	19	10	7
15.101442666.101443231	40	25	67	50	22	14	33	31	18	30	22	36	39	46	55
16.437912.438731	72	48	174	75	105	24	57	58	78	25	48	46	67	94	123
16.1046992.1047868	48	63	236	126	31	19	51	12	30	58	32	70	53	81	115
16.3414753.3415361	10	9	155	136	72	4	3	4	1	2	2	1	18	6	7
16.4244579.4245307	120	91	27	33	20	51	114	44	10	61	64	56	37	18	36
16.10846685.10847789	321	214	107	93	111	179	276	124	33	200	257	208	65	45	94
16.10970375.10971901	180	165	69	72	63	95	251	86	15	138	149	124	58	34	56
16.12096202.12096870	40	54	249	109	24	23	55	55	27	73	71	58	86	98	180
16.14279906.14281050	59	51	229	102	43	25	85	73	36	89	75	56	68	113	107
16.15905425.15906386	37	39	109	86	30	17	44	31	33	47	60	45	59	93	112
16.17316583.17317454	69	63	29	31	19	49	67	39	8	57	50	66	22	18	21
16.17352724.17353715	179	163	61	57	48	73	137	70	17	104	122	78	34	23	59
16.17453534.17454120	77	58	18	25	19	71	60	46	6	42	47	93	27	15	20
16.17454467.17455100	127	79	40	31	17	92	50	69	13	52	42	84	26	21	22
16.19305277.19306255	230	216	78	97	68	111	241	130	16	200	216	158	59	48	93
16.21661624.21662712	75	85	39	32	34	29	71	59	5	74	68	73	23	16	31
16.25055329.25055681	36	30	12	12	9	17	33	20	3	22	46	18	7	7	9
16.26345456.26346217	57	53	14	17	13	33	66	36	6	47	46	22	10	17	16
16.29188717.29189908	61	49	257	155	33	36	74	51	32	66	53	63	98	94	160
16.30706273.30707083	42	43	78	92	36	23	56	30	27	40	34	53	58	59	80
16.30938964.30939849	70	65	148	190	76	57	81	62	49	86	46	48	83	119	69
16.31362965.31364548	292	230	110	86	73	157	245	151	24	179	198	247	91	63	96
16.48221903.48223190	81	59	33	42	18	38	88	64	7	67	96	61	23	20	32
16.49732379.49732878	37	27	69	55	33	18	39	35	27	41	26	31	23	56	54
