donor21_Normal_sample21_14	donor21_Normal_sample21_6	donor21_MDS_sample21_16	donor21_MDS_sample21_29	donor21_MDS_sample21_31	donor22_Normal_sample22_22	donor22_Normal_sample22_27	donor22_Normal_sample22_45	donor22_MDS_sample22_44b	donor23_Normal_sample23_13	donor23_Normal_sample23_28	donor23_Normal_sample23_5	donor23_MDS_sample23_24	donor23_MDS_sample23_38	donor23_MDS_sample23_6
1.244482509.244483488	207	146	78	60	62	112	195	154	18	220	190	156	60	34	79
1.245842909.245843840	60	48	18	15	17	56	124	90	9	96	111	70	28	26	32
1.247124975.247125978	79	108	59	54	33	57	121	89	9	103	122	80	27	11	38
1.247336002.247337253	104	95	48	42	39	61	114	87	8	92	120	89	39	25	43
1.247574634.247575446	73	40	20	20	23	35	79	53	8	57	79	63	18	19	26
1.247580862.247581672	95	70	21	24	25	65	75	52	10	59	99	44	29	12	33
1.247598446.247599264	47	42	17	19	24	33	47	27	5	45	64	42	13	7	26
1.247603325.247603930	58	40	15	18	9	12	27	23	1	26	63	39	14	6	9
2.1257508.1257826	42	31	3	6	8	24	46	25	5	62	98	34	7	6	15
2.2274641.2275969	99	109	36	32	25	50	80	59	11	175	174	99	23	25	45
2.2685279.2686286	148	121	37	41	43	100	92	106	17	113	107	109	41	22	44
2.3199418.3200311	105	102	53	41	54	78	132	105	10	131	135	93	22	31	52
2.3226467.3227578	147	117	111	68	23	57	68	66	5	137	168	153	56	22	60
2.3360974.3361707	82	44	25	29	27	35	55	49	9	92	91	65	17	17	25
2.7913240.7914234	154	108	43	50	33	91	155	83	21	114	133	103	30	15	37
2.8292926.8293693	93	50	20	24	22	28	70	35	4	42	49	33	19	13	19
2.8384701.8385246	73	67	23	26	33	45	76	62	5	68	74	73	21	21	35
2.8742852.8743371	68	37	14	22	15	9	27	25	8	42	43	45	11	13	17
2.9252264.9252767	29	28	95	43	37	25	21	36	30	30	25	22	32	51	52
2.9471866.9472378	35	29	93	58	39	13	54	60	32	25	25	40	27	70	70
2.10885521.10886248	103	84	19	32	23	43	83	50	8	66	83	71	25	15	47
2.10961401.10961899	53	49	14	8	14	36	38	46	7	37	28	26	15	7	23
2.12047106.12047966	130	111	41	57	48	83	156	97	16	116	163	57	35	16	39
2.12070434.12071311	93	75	47	32	23	33	59	58	2	86	93	58	30	32	27
2.12341361.12341905	34	40	11	11	7	26	38	34	8	48	50	34	14	16	22
2.12647291.12647870	65	54	16	14	9	55	64	33	5	38	59	70	22	14	20
2.12727984.12728780	148	106	64	33	50	61	165	89	14	150	150	95	32	24	78
2.14374936.14376251	85	72	24	34	38	44	89	59	10	143	171	119	15	13	52
2.16191137.16191736	28	24	90	46	14	5	35	24	18	30	22	36	38	58	54
2.16811355.16812665	214	150	75	74	69	97	230	137	21	201	206	124	58	50	70
2.16831555.16832328	71	55	28	42	18	29	81	70	6	88	94	46	25	25	27
2.16837517.16838700	275	201	90	93	77	146	230	180	20	177	250	161	77	46	82
2.16898762.16899253	49	45	22	16	8	25	37	34	5	44	55	38	16	17	19
2.17384102.17384610	52	49	28	28	18	21	67	63	3	89	94	47	17	14	26
2.17985504.17986282	70	54	15	22	11	30	47	34	3	65	64	47	13	10	24
2.18093163.18093910	69	56	22	25	21	36	79	34	7	79	86	62	12	12	35
2.19673726.19674363	59	49	21	16	13	29	82	21	9	99	97	57	14	11	34
2.20091557.20092092	40	41	16	25	16	44	42	55	3	75	106	52	15	14	29
2.20629067.20629769	101	81	27	28	16	47	68	30	3	53	70	45	20	12	26
2.20639004.20640189	153	113	52	52	47	73	128	117	17	132	128	92	44	24	47
2.20937340.20937826	50	30	19	16	19	22	44	33	5	63	65	41	14	11	28
2.21454725.21455366	61	51	16	18	16	28	74	46	3	66	66	42	15	15	31
2.25479337.25480578	45	28	178	131	31	27	58	44	37	93	54	47	53	89	98
2.25706572.25707068	85	80	29	30	26	32	59	46	6	58	38	80	25	11	40
2.26225560.26226345	109	156	37	42	38	49	98	83	16	69	95	65	40	16	23
2.26249563.26249978	20	17	80	59	20	16	37	27	10	38	15	21	32	44	63
2.26972787.26973569	48	29	170	88	65	25	64	36	54	82	42	40	57	89	96
2.29539727.29540728	130	87	37	38	42	53	137	65	11	93	92	89	20	18	29
2.29540868.29541371	59	37	12	15	11	10	36	22	0	27	50	23	7	4	15
2.29666478.29666750	35	38	12	16	9	27	32	28	1	38	51	46	12	12	14
2.29703034.29704021	181	134	48	44	61	128	176	110	20	186	218	203	60	52	80
2.30644609.30644850	10	12	76	46	25	4	15	21	35	37	18	8	18	35	24
2.33248135.33248712	33	19	44	38	23	16	19	39	14	19	21	40	53	31	56
2.33437226.33437571	27	21	75	43	18	6	29	39	21	41	25	36	37	27	72
2.34009925.34010719	70	46	19	14	18	29	53	33	6	68	91	52	21	11	15
2.35672350.35672781	49	55	23	30	16	36	51	40	5	71	58	37	13	10	20
2.36286185.36286370	34	42	22	15	13	18	31	28	3	38	55	20	10	8	10
2.36926049.36926823	60	77	25	22	20	27	89	66	4	75	104	50	16	8	33
2.37621029.37622200	174	103	46	44	45	103	158	83	14	69	101	107	44	21	62
2.37842828.37843650	92	69	23	36	25	55	82	32	7	57	59	50	18	15	29
2.38355645.38356508	146	118	44	56	41	98	151	97	10	112	103	98	39	28	42
2.38846369.38847193	90	69	25	17	25	53	76	47	7	58	62	62	20	20	30
2.39635925.39636461	41	44	16	17	17	25	49	30	5	39	56	27	15	5	25
2.39719061.39719763	128	113	40	32	39	91	82	71	8	89	87	109	36	28	45
2.39858906.39859322	12	16	157	38	9	14	19	30	18	56	20	28	41	47	81
2.40078616.40079384	60	32	31	19	15	26	63	26	4	110	86	55	15	19	28
2.40264352.40264966	76	42	20	18	24	28	50	54	8	90	78	32	17	4	25
2.40658339.40659063	89	81	40	30	23	42	53	63	12	83	114	66	24	22	47
2.40682639.40683412	110	73	28	46	29	50	95	69	14	93	141	57	34	16	41
2.43268355.43269690	92	81	554	257	114	112	150	132	97	184	114	116	121	186	293
2.43336312.43337343	103	94	21	37	23	40	122	46	6	55	74	49	30	18	33
2.43635252.43636118	85	65	27	33	34	38	70	51	5	68	55	57	14	18	28
2.44935555.44935769	40	29	9	6	8	11	25	27	2	25	31	25	9	9	14
2.45896073.45896666	14	12	152	51	19	20	32	40	8	59	34	24	40	47	64
2.46063669.46064345	74	59	18	32	27	36	50	30	3	38	49	40	16	14	21
2.46696989.46697920	221	169	69	66	50	129	164	136	18	126	152	138	55	31	74
2.46774242.46775647	163	224	60	73	54	76	137	132	18	138	144	100	37	38	64
2.47068741.47069283	75	50	27	23	17	30	62	33	9	51	61	60	17	18	24
2.47130218.47130730	43	37	20	16	11	16	24	31	3	19	31	37	9	4	13
2.47571666.47572899	67	66	215	191	60	29	95	82	61	144	71	74	84	154	161
2.48559529.48559890	38	35	6	17	15	14	30	35	1	28	35	26	7	7	8
2.48995578.48996462	139	106	45	49	49	68	116	96	7	140	153	86	29	28	50
2.51255720.51256408	40	38	14	17	13	19	52	51	4	67	71	37	16	12	18
2.54801236.54802063	47	42	120	52	51	28	44	51	36	63	21	38	35	62	69
2.54816429.54817035	23	23	110	85	17	22	55	41	15	61	37	52	52	56	97
2.55093981.55094565	53	42	15	22	13	23	53	28	3	62	52	38	17	13	17
2.55377941.55378665	139	109	28	38	51	71	145	75	2	108	121	73	24	20	35
2.55592533.55593114	45	35	16	12	25	14	43	26	4	47	56	44	11	5	20
2.60650804.60651963	90	86	22	28	24	55	124	68	7	93	108	67	32	15	33
2.60937783.60938374	168	144	58	53	44	109	112	104	10	135	175	129	33	22	54
2.61153281.61154926	158	117	64	51	56	81	141	107	18	125	140	147	44	31	61
2.61220125.61220313	35	42	18	12	12	15	38	35	6	38	30	26	9	7	14
2.63926008.63926685	38	26	174	82	35	14	39	32	24	110	49	54	48	53	80
2.64418899.64420201	149	180	51	41	51	79	130	146	19	147	138	102	48	22	48
2.64504025.64504885	137	97	23	32	36	64	86	50	11	84	71	69	23	24	32
2.65079605.65080758	267	198	74	93	67	135	244	162	32	146	170	183	67	44	80
2.65677601.65678055	46	45	21	19	21	21	57	37	3	48	51	34	11	12	18
2.68614260.68615425	108	87	43	48	34	91	130	117	16	85	120	118	32	24	58
2.68961525.68962627	117	82	41	48	36	51	144	90	8	115	119	78	33	26	55
2.69061976.69063089	118	92	37	43	28	44	95	64	12	99	83	72	26	19	46
2.69084465.69085437	108	91	37	48	25	66	96	61	8	80	97	99	39	16	35
2.69855357.69856069	84	63	29	29	17	34	49	42	7	41	63	41	14	18	21
2.70002520.70003037	43	38	9	13	5	20	34	35	5	26	31	24	9	4	6
2.70025191.70026818	104	95	261	197	107	36	198	101	77	108	135	80	87	152	259
2.70737263.70737923	90	104	30	34	23	31	68	52	9	60	70	47	24	12	29
2.73973456.73974273	21	21	71	91	19	1	27	26	13	60	14	24	40	46	59
2.75111342.75111656	30	14	16	8	3	7	13	22	4	34	37	37	7	7	13
2.75514931.75515634	42	59	19	22	23	19	42	44	5	70	72	55	21	18	26
